sudoku,split,dp_call,literal_iteration,literal_search
800,fifo,44,0,0
800,fifo_reversed,48,0,0
800,fifo_negative_only,48,0,0
800,fifo_positive_only,44,0,0
800,dlcs,10001,0,0
800,dlcs_reversed,164,0,0
800,dlcs_negative_only,164,0,0
800,dlcs_positive_only,10001,0,0
800,dlis,10001,0,0
800,dlis_reversed,10001,0,0
800,dlis_negative_only,10001,0,0
800,dlis_positive_only,10001,0,0
801,fifo,52,0,0
801,fifo_reversed,33,0,0
801,fifo_negative_only,33,0,0
801,fifo_positive_only,52,0,0
801,dlcs,10001,0,0
801,dlcs_reversed,10001,0,0
801,dlcs_negative_only,10001,0,0
801,dlcs_positive_only,10001,0,0
801,dlis,10001,0,0
801,dlis_reversed,10001,0,0
801,dlis_negative_only,10001,0,0
801,dlis_positive_only,10001,0,0
802,fifo,42,0,0
802,fifo_reversed,40,0,0
802,fifo_negative_only,40,0,0
802,fifo_positive_only,42,0,0
802,dlcs,10001,0,0
802,dlcs_reversed,10001,0,0
802,dlcs_negative_only,10001,0,0
802,dlcs_positive_only,10001,0,0
802,dlis,10001,0,0
802,dlis_reversed,10001,0,0
802,dlis_negative_only,10001,0,0
802,dlis_positive_only,10001,0,0
803,fifo,10001,0,0
803,fifo_reversed,84,0,0
803,fifo_negative_only,84,0,0
803,fifo_positive_only,10001,0,0
803,dlcs,10001,0,0
803,dlcs_reversed,10001,0,0
803,dlcs_negative_only,10001,0,0
803,dlcs_positive_only,10001,0,0
803,dlis,10001,0,0
803,dlis_reversed,10001,0,0
803,dlis_negative_only,10001,0,0
803,dlis_positive_only,10001,0,0
804,fifo,10001,0,0
804,fifo_reversed,10001,0,0
804,fifo_negative_only,10001,0,0
804,fifo_positive_only,10001,0,0
804,dlcs,10001,0,0
804,dlcs_reversed,101,0,0
804,dlcs_negative_only,101,0,0
804,dlcs_positive_only,10001,0,0
804,dlis,10001,0,0
804,dlis_reversed,10001,0,0
804,dlis_negative_only,10001,0,0
804,dlis_positive_only,10001,0,0
805,fifo,10001,0,0
805,fifo_reversed,44,0,0
805,fifo_negative_only,44,0,0
805,fifo_positive_only,10001,0,0
805,dlcs,10001,0,0
805,dlcs_reversed,118,0,0
805,dlcs_negative_only,118,0,0
805,dlcs_positive_only,10001,0,0
805,dlis,10001,0,0
805,dlis_reversed,10001,0,0
805,dlis_negative_only,10001,0,0
805,dlis_positive_only,10001,0,0
806,fifo,38,0,0
806,fifo_reversed,10001,0,0
806,fifo_negative_only,10001,0,0
806,fifo_positive_only,38,0,0
806,dlcs,10001,0,0
806,dlcs_reversed,89,0,0
806,dlcs_negative_only,89,0,0
806,dlcs_positive_only,10001,0,0
806,dlis,10001,0,0
806,dlis_reversed,10001,0,0
806,dlis_negative_only,10001,0,0
806,dlis_positive_only,10001,0,0
807,fifo,37,0,0
807,fifo_reversed,10001,0,0
807,fifo_negative_only,10001,0,0
807,fifo_positive_only,37,0,0
807,dlcs,10001,0,0
